report_schema_version,engine_version,feel_package_version,dmn_package_version,dmn_tck_commit,dmn_specification_version,elixir_version,otp_version,execution_date,suite,profile,compatibility_percent,suite_coverage_percent,coverage_percent,group,id,status,decision,expected_error,expected,actual,error,case_file,compliance_level
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/Post-bureauRiskCategory","passed","Post-bureauRiskCategory","false","""LOW""","""LOW""","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/Pre-bureauAffordability","passed","Pre-bureauAffordability","false","true","true","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/Pre-bureauRiskCategory","passed","Pre-bureauRiskCategory","false","""LOW""","""LOW""","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/RequiredMonthlyInstallment","passed","RequiredMonthlyInstallment","false","{""type"":""number"",""value"":""1680.880325608555""}","{""type"":""number"",""value"":""1680.880325608634796819003610""}","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/Routing","passed","Routing","false","""ACCEPT""","""ACCEPT""","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/Strategy","passed","Strategy","false","""BUREAU""","""BUREAU""","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-simpletable-U","001","passed","Approval Status","false","""Approved""","""Approved""","null","TestCases/compliance-level-2/0004-simpletable-U/0004-simpletable-U-test-01.xml","compliance-level-2"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-simpletable-U","002","passed","Approval Status","false","""Declined""","""Declined""","null","TestCases/compliance-level-2/0004-simpletable-U/0004-simpletable-U-test-01.xml","compliance-level-2"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-simpletable-U","003","passed","Approval Status","false","""Declined""","""Declined""","null","TestCases/compliance-level-2/0004-simpletable-U/0004-simpletable-U-test-01.xml","compliance-level-2"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0005-literal-invocation","001","passed","MonthlyPayment","false","{""type"":""number"",""value"":""2878.69354943277""}","{""type"":""number"",""value"":""2878.693549432766768088520375""}","null","TestCases/compliance-level-3/0005-literal-invocation/0005-literal-invocation-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0005-literal-invocation","002","passed","MonthlyPayment","false","{""type"":""number"",""value"":""662.707359373292""}","{""type"":""number"",""value"":""662.7073593732659271562143668""}","null","TestCases/compliance-level-3/0005-literal-invocation/0005-literal-invocation-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0005-literal-invocation","003","passed","MonthlyPayment","false","{""type"":""number"",""value"":""2961.03377700389""}","{""type"":""number"",""value"":""2961.033777003901636716262772""}","null","TestCases/compliance-level-3/0005-literal-invocation/0005-literal-invocation-test-01.xml","compliance-level-3"
